review_id,product_id,rating,review_date,review_data
106,2239,3,2025-11-14,"{'comment': 'Moyen', 'language': 'es'}"
107,663,5,2025-10-16,"{'comment': 'Bon produit', 'language': 'en'}"
108,370,2,2025-10-03,"{'comment': 'Excellent', 'language': 'es'}"
109,739,1,2025-11-08,"{'comment': 'Moyen', 'language': 'es'}"
110,1460,4,2025-10-03,"{'comment': 'Moyen', 'language': 'en'}"
111,295,2,2025-11-16,"{'comment': 'Moyen', 'language': 'es'}"
112,1606,1,2025-10-15,"{'comment': 'Moyen', 'language': 'en'}"
113,868,4,2025-10-03,"{'comment': 'Pas satisfait', 'language': 'en'}"
114,2,1,2025-11-01,"{'comment': 'Moyen', 'language': 'fr'}"
115,2248,3,2025-11-02,"{'comment': 'Pas satisfait', 'language': 'fr'}"
116,2474,5,2025-10-20,"{'comment': 'Bon produit', 'language': 'en'}"
117,562,1,2025-11-25,"{'comment': 'Pas satisfait', 'language': 'fr'}"
118,282,1,2025-11-16,"{'comment': 'Excellent', 'language': 'es'}"
119,2604,4,2025-10-07,"{'comment': 'Excellent', 'language': 'fr'}"
120,997,3,2025-11-03,"{'comment': 'Excellent', 'language': 'en'}"
121,1351,2,2025-10-29,"{'comment': 'Moyen', 'language': 'es'}"
122,1480,4,2025-11-12,"{'comment': 'Excellent', 'language': 'es'}"
123,265,1,2025-11-08,"{'comment': 'Bon produit', 'language': 'en'}"
124,1128,2,2025-10-16,"{'comment': 'Pas satisfait', 'language': 'es'}"
125,1817,4,2025-10-25,"{'comment': 'Bon produit', 'language': 'es'}"
126,1487,1,2025-11-05,"{'comment': 'Pas satisfait', 'language': 'fr'}"
127,899,4,2025-10-20,"{'comment': 'Moyen', 'language': 'fr'}"
128,2381,5,2025-10-03,"{'comment': 'Moyen', 'language': 'fr'}"
129,649,1,2025-10-15,"{'comment': 'Bon produit', 'language': 'en'}"
130,2305,2,2025-11-16,"{'comment': 'Pas satisfait', 'language': 'es'}"
131,706,3,2025-11-24,"{'comment': 'Moyen', 'language': 'fr'}"
132,149,3,2025-10-28,"{'comment': 'Excellent', 'language': 'fr'}"
133,2771,4,2025-09-28,"{'comment': 'Bon produit', 'language': 'en'}"
134,22,3,2025-10-30,"{'comment': 'Bon produit', 'language': 'es'}"
135,535,5,2025-10-12,"{'comment': 'Moyen', 'language': 'fr'}"
136,778,3,2025-11-02,"{'comment': 'Pas satisfait', 'language': 'fr'}"
137,354,5,2025-10-23,"{'comment': 'Pas satisfait', 'language': 'en'}"
138,497,2,2025-10-25,"{'comment': 'Pas satisfait', 'language': 'fr'}"
139,2754,2,2025-10-04,"{'comment': 'Pas satisfait', 'language': 'en'}"
140,2074,4,2025-10-08,"{'comment': 'Excellent', 'language': 'es'}"
141,2348,1,2025-10-11,"{'comment': 'Moyen', 'language': 'fr'}"
142,1065,3,2025-11-23,"{'comment': 'Bon produit', 'language': 'fr'}"
143,1235,5,2025-10-09,"{'comment': 'Bon produit', 'language': 'fr'}"
144,1844,1,2025-10-22,"{'comment': 'Excellent', 'language': 'en'}"
145,1860,4,2025-10-21,"{'comment': 'Moyen', 'language': 'en'}"
146,2424,5,2025-11-20,"{'comment': 'Excellent', 'language': 'es'}"
147,768,3,2025-10-24,"{'comment': 'Pas satisfait', 'language': 'es'}"
148,342,4,2025-11-03,"{'comment': 'Moyen', 'language': 'es'}"
149,515,3,2025-10-26,"{'comment': 'Excellent', 'language': 'es'}"
150,2448,1,2025-11-23,"{'comment': 'Bon produit', 'language': 'es'}"
151,2748,2,2025-09-28,"{'comment': 'Moyen', 'language': 'en'}"
152,427,5,2025-10-14,"{'comment': 'Pas satisfait', 'language': 'en'}"
153,475,4,2025-11-02,"{'comment': 'Bon produit', 'language': 'fr'}"
154,2505,5,2025-10-07,"{'comment': 'Excellent', 'language': 'en'}"
155,2696,2,2025-10-16,"{'comment': 'Excellent', 'language': 'en'}"
156,2676,5,2025-10-03,"{'comment': 'Bon produit', 'language': 'es'}"
157,1605,5,2025-10-09,"{'comment': 'Pas satisfait', 'language': 'es'}"
158,20,5,2025-11-24,"{'comment': 'Pas satisfait', 'language': 'en'}"
159,1211,2,2025-10-02,"{'comment': 'Moyen', 'language': 'es'}"
160,1053,4,2025-10-26,"{'comment': 'Pas satisfait', 'language': 'en'}"
161,2427,2,2025-10-03,"{'comment': 'Moyen', 'language': 'fr'}"
162,30,4,2025-10-17,"{'comment': 'Bon produit', 'language': 'en'}"
163,2606,4,2025-11-06,"{'comment': 'Pas satisfait', 'language': 'fr'}"
164,133,5,2025-11-06,"{'comment': 'Pas satisfait', 'language': 'es'}"
165,1190,5,2025-10-12,"{'comment': 'Moyen', 'language': 'fr'}"
166,873,3,2025-10-28,"{'comment': 'Bon produit', 'language': 'en'}"
167,16,1,2025-10-19,"{'comment': 'Pas satisfait', 'language': 'es'}"
168,2153,3,2025-11-21,"{'comment': 'Excellent', 'language': 'en'}"
169,2162,4,2025-10-13,"{'comment': 'Pas satisfait', 'language': 'en'}"
170,197,2,2025-10-08,"{'comment': 'Pas satisfait', 'language': 'es'}"
171,2189,4,2025-11-18,"{'comment': 'Pas satisfait', 'language': 'en'}"
172,2849,1,2025-10-27,"{'comment': 'Excellent', 'language': 'fr'}"
173,655,3,2025-11-26,"{'comment': 'Pas satisfait', 'language': 'fr'}"
174,1674,4,2025-11-22,"{'comment': 'Excellent', 'language': 'es'}"
175,2506,5,2025-11-17,"{'comment': 'Moyen', 'language': 'es'}"
176,142,4,2025-09-30,"{'comment': 'Bon produit', 'language': 'en'}"
177,2440,1,2025-11-09,"{'comment': 'Pas satisfait', 'language': 'fr'}"
178,1033,5,2025-10-21,"{'comment': 'Bon produit', 'language': 'en'}"
179,2520,5,2025-10-09,"{'comment': 'Moyen', 'language': 'es'}"
180,1113,4,2025-10-14,"{'comment': 'Excellent', 'language': 'en'}"
181,1118,2,2025-11-06,"{'comment': 'Pas satisfait', 'language': 'fr'}"
182,408,3,2025-11-16,"{'comment': 'Moyen', 'language': 'fr'}"
183,1557,3,2025-10-08,"{'comment': 'Moyen', 'language': 'fr'}"
184,1222,3,2025-10-09,"{'comment': 'Bon produit', 'language': 'en'}"
185,210,4,2025-11-25,"{'comment': 'Excellent', 'language': 'es'}"
186,7,2,2025-11-27,"{'comment': 'Bon produit', 'language': 'fr'}"
187,723,5,2025-10-16,"{'comment': 'Bon produit', 'language': 'es'}"
188,1072,5,2025-10-27,"{'comment': 'Pas satisfait', 'language': 'fr'}"
189,865,5,2025-10-25,"{'comment': 'Bon produit', 'language': 'fr'}"
190,146,5,2025-10-04,"{'comment': 'Excellent', 'language': 'es'}"
191,2493,5,2025-11-24,"{'comment': 'Bon produit', 'language': 'en'}"
192,348,3,2025-10-06,"{'comment': 'Bon produit', 'language': 'en'}"
193,161,1,2025-10-13,"{'comment': 'Excellent', 'language': 'es'}"
194,1577,5,2025-10-21,"{'comment': 'Pas satisfait', 'language': 'es'}"
195,2509,4,2025-11-11,"{'comment': 'Bon produit', 'language': 'en'}"
196,426,2,2025-10-28,"{'comment': 'Excellent', 'language': 'es'}"
197,1829,4,2025-11-04,"{'comment': 'Excellent', 'language': 'es'}"
198,527,1,2025-10-09,"{'comment': 'Moyen', 'language': 'fr'}"
199,1478,5,2025-10-05,"{'comment': 'Excellent', 'language': 'es'}"
200,1823,1,2025-10-08,"{'comment': 'Pas satisfait', 'language': 'es'}"
201,2423,5,2025-10-23,"{'comment': 'Pas satisfait', 'language': 'fr'}"
202,2085,5,2025-10-05,"{'comment': 'Moyen', 'language': 'es'}"
203,698,2,2025-11-07,"{'comment': 'Excellent', 'language': 'en'}"
204,2849,1,2025-10-14,"{'comment': 'Moyen', 'language': 'es'}"
205,1262,1,2025-10-17,"{'comment': 'Bon produit', 'language': 'fr'}"
206,2932,4,2025-10-30,"{'comment': 'Bon produit', 'language': 'en'}"
207,105,4,2025-10-15,"{'comment': 'Excellent', 'language': 'es'}"
208,2223,3,2025-10-11,"{'comment': 'Bon produit', 'language': 'fr'}"
209,795,5,2025-10-07,"{'comment': 'Bon produit', 'language': 'fr'}"
210,1695,3,2025-10-07,"{'comment': 'Bon produit', 'language': 'fr'}"
211,820,4,2025-10-02,"{'comment': 'Pas satisfait', 'language': 'es'}"
212,1201,5,2025-11-05,"{'comment': 'Excellent', 'language': 'fr'}"
213,899,2,2025-11-13,"{'comment': 'Bon produit', 'language': 'en'}"
214,177,1,2025-09-29,"{'comment': 'Pas satisfait', 'language': 'fr'}"
215,1400,5,2025-10-30,"{'comment': 'Excellent', 'language': 'fr'}"
216,81,4,2025-10-29,"{'comment': 'Moyen', 'language': 'en'}"
217,2603,3,2025-10-05,"{'comment': 'Moyen', 'language': 'en'}"
218,783,4,2025-10-05,"{'comment': 'Excellent', 'language': 'en'}"
219,2304,2,2025-10-18,"{'comment': 'Bon produit', 'language': 'en'}"
220,1452,4,2025-11-17,"{'comment': 'Excellent', 'language': 'es'}"
221,1038,1,2025-10-20,"{'comment': 'Moyen', 'language': 'es'}"
222,396,3,2025-11-04,"{'comment': 'Pas satisfait', 'language': 'fr'}"
223,576,4,2025-11-11,"{'comment': 'Moyen', 'language': 'es'}"
224,1854,4,2025-10-24,"{'comment': 'Moyen', 'language': 'es'}"
225,1644,1,2025-11-15,"{'comment': 'Pas satisfait', 'language': 'fr'}"
226,64,4,2025-10-07,"{'comment': 'Bon produit', 'language': 'fr'}"
227,2184,2,2025-11-02,"{'comment': 'Moyen', 'language': 'en'}"
228,854,3,2025-11-05,"{'comment': 'Excellent', 'language': 'fr'}"
229,384,5,2025-10-28,"{'comment': 'Moyen', 'language': 'en'}"
230,2163,4,2025-10-14,"{'comment': 'Bon produit', 'language': 'es'}"
231,1570,5,2025-10-05,"{'comment': 'Pas satisfait', 'language': 'es'}"
232,25,5,2025-10-04,"{'comment': 'Pas satisfait', 'language': 'es'}"
233,1552,5,2025-11-11,"{'comment': 'Pas satisfait', 'language': 'en'}"
234,2290,2,2025-10-10,"{'comment': 'Moyen', 'language': 'en'}"
235,2595,5,2025-10-06,"{'comment': 'Excellent', 'language': 'fr'}"
236,331,4,2025-11-19,"{'comment': 'Bon produit', 'language': 'fr'}"
237,1955,5,2025-10-03,"{'comment': 'Pas satisfait', 'language': 'es'}"
238,2693,1,2025-10-01,"{'comment': 'Excellent', 'language': 'es'}"
239,1429,2,2025-11-10,"{'comment': 'Excellent', 'language': 'es'}"
240,772,5,2025-10-11,"{'comment': 'Bon produit', 'language': 'es'}"
241,208,4,2025-10-03,"{'comment': 'Pas satisfait', 'language': 'es'}"
242,2268,1,2025-11-07,"{'comment': 'Excellent', 'language': 'fr'}"
243,1107,5,2025-10-27,"{'comment': 'Bon produit', 'language': 'fr'}"
244,662,3,2025-11-04,"{'comment': 'Bon produit', 'language': 'fr'}"
245,1542,1,2025-10-10,"{'comment': 'Bon produit', 'language': 'es'}"
246,821,3,2025-10-07,"{'comment': 'Moyen', 'language': 'fr'}"
247,847,4,2025-11-23,"{'comment': 'Moyen', 'language': 'fr'}"
248,2,1,2025-09-29,"{'comment': 'Pas satisfait', 'language': 'en'}"
249,286,2,2025-10-06,"{'comment': 'Bon produit', 'language': 'fr'}"
250,1718,3,2025-10-06,"{'comment': 'Excellent', 'language': 'es'}"
251,2826,2,2025-10-26,"{'comment': 'Pas satisfait', 'language': 'fr'}"
252,947,4,2025-11-16,"{'comment': 'Excellent', 'language': 'fr'}"
253,1888,3,2025-10-26,"{'comment': 'Moyen', 'language': 'en'}"
254,435,1,2025-10-29,"{'comment': 'Bon produit', 'language': 'fr'}"
255,1475,2,2025-11-09,"{'comment': 'Moyen', 'language': 'en'}"
256,1167,4,2025-11-18,"{'comment': 'Bon produit', 'language': 'fr'}"
257,42,5,2025-11-10,"{'comment': 'Moyen', 'language': 'es'}"
258,797,3,2025-11-20,"{'comment': 'Moyen', 'language': 'fr'}"
259,1855,3,2025-11-03,"{'comment': 'Bon produit', 'language': 'es'}"
260,2316,3,2025-10-30,"{'comment': 'Excellent', 'language': 'fr'}"
261,2322,3,2025-10-10,"{'comment': 'Pas satisfait', 'language': 'es'}"
262,56,5,2025-11-15,"{'comment': 'Excellent', 'language': 'en'}"
263,2010,3,2025-10-12,"{'comment': 'Excellent', 'language': 'es'}"
264,1994,4,2025-11-20,"{'comment': 'Pas satisfait', 'language': 'fr'}"
265,1957,5,2025-10-07,"{'comment': 'Excellent', 'language': 'fr'}"
266,155,3,2025-10-10,"{'comment': 'Pas satisfait', 'language': 'fr'}"
267,455,3,2025-10-18,"{'comment': 'Pas satisfait', 'language': 'es'}"
268,2094,1,2025-11-09,"{'comment': 'Moyen', 'language': 'es'}"
269,120,1,2025-10-27,"{'comment': 'Excellent', 'language': 'fr'}"
270,665,1,2025-10-09,"{'comment': 'Pas satisfait', 'language': 'es'}"
271,297,1,2025-11-04,"{'comment': 'Bon produit', 'language': 'es'}"
272,19,4,2025-11-24,"{'comment': 'Pas satisfait', 'language': 'es'}"
273,75,2,2025-10-26,"{'comment': 'Bon produit', 'language': 'en'}"
274,2417,1,2025-11-26,"{'comment': 'Excellent', 'language': 'en'}"
275,1069,2,2025-10-15,"{'comment': 'Pas satisfait', 'language': 'fr'}"
276,619,5,2025-10-12,"{'comment': 'Excellent', 'language': 'es'}"
277,160,3,2025-10-23,"{'comment': 'Pas satisfait', 'language': 'fr'}"
278,574,1,2025-11-14,"{'comment': 'Moyen', 'language': 'fr'}"
279,41,2,2025-10-20,"{'comment': 'Bon produit', 'language': 'en'}"
280,1770,4,2025-10-15,"{'comment': 'Pas satisfait', 'language': 'fr'}"
281,900,2,2025-11-14,"{'comment': 'Pas satisfait', 'language': 'fr'}"
282,1298,3,2025-10-11,"{'comment': 'Moyen', 'language': 'es'}"
283,1522,3,2025-11-08,"{'comment': 'Pas satisfait', 'language': 'es'}"
284,1038,4,2025-11-01,"{'comment': 'Excellent', 'language': 'es'}"
285,2472,1,2025-11-12,"{'comment': 'Pas satisfait', 'language': 'en'}"
286,2023,2,2025-10-15,"{'comment': 'Moyen', 'language': 'fr'}"
287,2510,1,2025-10-22,"{'comment': 'Bon produit', 'language': 'en'}"
288,278,4,2025-11-21,"{'comment': 'Moyen', 'language': 'fr'}"
289,1913,4,2025-10-12,"{'comment': 'Moyen', 'language': 'fr'}"
290,2667,3,2025-10-02,"{'comment': 'Pas satisfait', 'language': 'en'}"
291,1900,3,2025-11-07,"{'comment': 'Excellent', 'language': 'es'}"
292,2309,1,2025-10-04,"{'comment': 'Excellent', 'language': 'fr'}"
293,1985,5,2025-10-18,"{'comment': 'Moyen', 'language': 'fr'}"
294,2951,4,2025-11-24,"{'comment': 'Moyen', 'language': 'fr'}"
295,1532,2,2025-11-12,"{'comment': 'Pas satisfait', 'language': 'fr'}"
296,974,1,2025-10-03,"{'comment': 'Excellent', 'language': 'es'}"
297,1332,4,2025-11-13,"{'comment': 'Pas satisfait', 'language': 'fr'}"
298,2920,2,2025-10-18,"{'comment': 'Bon produit', 'language': 'fr'}"
299,494,2,2025-10-12,"{'comment': 'Excellent', 'language': 'en'}"
300,363,4,2025-10-13,"{'comment': 'Pas satisfait', 'language': 'es'}"
301,1120,2,2025-10-01,"{'comment': 'Moyen', 'language': 'en'}"
302,2364,4,2025-10-14,"{'comment': 'Pas satisfait', 'language': 'es'}"
303,1121,3,2025-10-10,"{'comment': 'Moyen', 'language': 'en'}"
304,1822,2,2025-11-08,"{'comment': 'Pas satisfait', 'language': 'en'}"
305,1585,1,2025-10-28,"{'comment': 'Excellent', 'language': 'es'}"
306,2320,5,2025-10-02,"{'comment': 'Bon produit', 'language': 'fr'}"
307,575,4,2025-11-06,"{'comment': 'Moyen', 'language': 'en'}"
308,2490,3,2025-10-30,"{'comment': 'Excellent', 'language': 'en'}"
309,1630,1,2025-11-11,"{'comment': 'Pas satisfait', 'language': 'fr'}"
310,2127,5,2025-09-28,"{'comment': 'Pas satisfait', 'language': 'es'}"
311,2928,4,2025-10-28,"{'comment': 'Bon produit', 'language': 'en'}"
312,2402,4,2025-11-01,"{'comment': 'Excellent', 'language': 'es'}"
313,1870,2,2025-10-28,"{'comment': 'Excellent', 'language': 'fr'}"
314,942,3,2025-10-30,"{'comment': 'Bon produit', 'language': 'es'}"
315,2176,1,2025-10-28,"{'comment': 'Excellent', 'language': 'es'}"
316,2846,4,2025-11-07,"{'comment': 'Bon produit', 'language': 'es'}"
317,1065,4,2025-11-10,"{'comment': 'Pas satisfait', 'language': 'en'}"
318,1135,5,2025-10-26,"{'comment': 'Moyen', 'language': 'en'}"
319,2261,4,2025-11-17,"{'comment': 'Moyen', 'language': 'es'}"
320,1125,4,2025-10-02,"{'comment': 'Moyen', 'language': 'fr'}"
321,1993,3,2025-10-01,"{'comment': 'Excellent', 'language': 'es'}"
322,2652,1,2025-10-11,"{'comment': 'Pas satisfait', 'language': 'es'}"
323,2587,5,2025-10-29,"{'comment': 'Bon produit', 'language': 'en'}"
324,2317,2,2025-10-22,"{'comment': 'Pas satisfait', 'language': 'en'}"
325,1166,4,2025-10-29,"{'comment': 'Bon produit', 'language': 'fr'}"
326,2702,2,2025-10-20,"{'comment': 'Bon produit', 'language': 'es'}"
327,2415,5,2025-10-15,"{'comment': 'Moyen', 'language': 'en'}"
328,2798,5,2025-11-07,"{'comment': 'Bon produit', 'language': 'en'}"
329,2873,3,2025-11-11,"{'comment': 'Pas satisfait', 'language': 'es'}"
330,397,1,2025-11-09,"{'comment': 'Pas satisfait', 'language': 'fr'}"
331,2260,3,2025-11-12,"{'comment': 'Bon produit', 'language': 'es'}"
332,1386,5,2025-09-28,"{'comment': 'Excellent', 'language': 'en'}"
333,1862,3,2025-10-06,"{'comment': 'Moyen', 'language': 'fr'}"
334,120,4,2025-10-09,"{'comment': 'Excellent', 'language': 'en'}"
335,1505,2,2025-10-07,"{'comment': 'Excellent', 'language': 'en'}"
336,2183,4,2025-11-14,"{'comment': 'Excellent', 'language': 'fr'}"
337,1502,5,2025-11-07,"{'comment': 'Pas satisfait', 'language': 'es'}"
338,2668,2,2025-11-23,"{'comment': 'Bon produit', 'language': 'en'}"
339,1314,4,2025-10-31,"{'comment': 'Bon produit', 'language': 'en'}"
340,2993,4,2025-10-17,"{'comment': 'Pas satisfait', 'language': 'fr'}"
341,1978,5,2025-11-07,"{'comment': 'Pas satisfait', 'language': 'en'}"
342,1566,2,2025-10-24,"{'comment': 'Bon produit', 'language': 'fr'}"
343,74,2,2025-11-26,"{'comment': 'Excellent', 'language': 'fr'}"
344,1219,2,2025-10-14,"{'comment': 'Moyen', 'language': 'es'}"
345,1916,2,2025-11-20,"{'comment': 'Moyen', 'language': 'fr'}"
346,982,2,2025-11-21,"{'comment': 'Pas satisfait', 'language': 'fr'}"
347,79,1,2025-10-20,"{'comment': 'Bon produit', 'language': 'en'}"
348,2505,2,2025-10-08,"{'comment': 'Moyen', 'language': 'en'}"
349,2969,2,2025-10-31,"{'comment': 'Moyen', 'language': 'en'}"
350,1494,3,2025-10-22,"{'comment': 'Bon produit', 'language': 'es'}"
351,1071,1,2025-10-13,"{'comment': 'Moyen', 'language': 'fr'}"
352,478,2,2025-11-03,"{'comment': 'Moyen', 'language': 'en'}"
353,2733,2,2025-11-16,"{'comment': 'Excellent', 'language': 'en'}"
354,556,4,2025-10-21,"{'comment': 'Pas satisfait', 'language': 'fr'}"
355,250,4,2025-11-26,"{'comment': 'Bon produit', 'language': 'fr'}"
356,1032,1,2025-10-28,"{'comment': 'Bon produit', 'language': 'es'}"
357,2451,4,2025-11-20,"{'comment': 'Bon produit', 'language': 'es'}"
